Food,Carbohydrates,Protein,Fat,Sugar,Sodium,콜레스테롤,포화지방,트랜스지방,1회 제공량,Energy,분류
아욱된장국,2.38 ,2.01 ,0.66 ,0.38 ,325.35 ,0.00 ,0.07 ,0.00 ,100.00 ,23.45,국 및 탕류
우거지국,2.31 ,1.48 ,0.57 ,0.55 ,357.15 ,0.00 ,0.07 ,0.00 ,100.00 ,20.24 ,국 및 탕류
배추겉절이,6.88 ,2.28 ,0.85 ,2.53 ,651.32 ,0.00 ,0.10 ,0.00 ,100.00 ,44.30 ,생채/무침류
팥죽,97.80 ,18.43 ,3.68 ,1.68 ,1026.43 ,0.00 ,0.49 ,0.01 ,600.00 ,498.06 ,죽 및 스프류
소세지볶음,15.89 ,9.38 ,14.96 ,4.47 ,718.03 ,30.13 ,4.41 ,0.08 ,100.00 ,235.69,볶음류
크림소스 스파게티,73.76 ,21.79 ,50.59 ,9.17 ,1030.21 ,126.58 ,25.67 ,1.01 ,400.00 ,837.57 ,면 및 만두류
깐풍기,37.78 ,26.14 ,37.00 ,9.96 ,657.13 ,138.85 ,8.10 ,0.81 ,200.00 ,588.72 ,튀김류
오이지무침,10.15 ,1.50 ,2.83 ,3.97 ,1129.78 ,0.00 ,0.29 ,0.01 ,100.00 ,72.03,생채/무침류
마늘장아찌,2.96 ,0.90 ,0.15 ,1.28 ,487.97 ,0.02 ,0.01 ,0.00 ,30.00 ,16.84 ,장아찌/절임류
김치우동,99.14 ,15.55 ,4.60 ,2.13 ,2874.60 ,14.13 ,0.83 ,0.00 ,800.00 ,500.18 ,면 및 만두류
해물칼국수,123.90 ,22.80 ,4.61 ,3.81 ,2355.07 ,26.70 ,1.30 ,0.01 ,900.00 ,628.26 ,면 및 만두류
시저샐러드,25.63 ,14.33 ,6.54 ,0.00 ,219.78 ,0.00 ,0.00 ,0.00 ,150.00 ,213.07,생채/무침류
시래기나물,2.55 ,1.50 ,3.50 ,0.05 ,216.81 ,0.00 ,0.40 ,0.00 ,50.00 ,47.50 ,나물/숙채류
멸치풋고추볶음,3.41 ,4.65 ,2.24 ,1.43 ,275.54 ,36.60 ,0.39 ,0.02 ,20.00 ,52.38,볶음류
쇠고기산적,7.40 ,48.40 ,25.60 ,0.00 ,1392.84 ,134.84 ,7.00 ,0.80 ,200.00 ,454.00 ,전/적 및 부침류
